year,month,cpi
2001,Mar,73.9
2001,Jun,74.5
2001,Sep,74.7
2001,Dec,75.4
2002,Mar,76.1
2002,Jun,76.6
2002,Sep,77.1
2002,Dec,77.6
2003,Mar,78.6
2003,Jun,78.6
2003,Sep,79.1
2003,Dec,79.5
2004,Mar,80.2
2004,Jun,80.6
2004,Sep,80.9
2004,Dec,81.5
2005,Mar,82.1
2005,Jun,82.6
2005,Sep,83.4
2005,Dec,83.8
2006,Mar,84.5
2006,Jun,85.9
2006,Sep,86.7
2006,Dec,86.6
2007,Mar,86.6
2007,Jun,87.7
2007,Sep,88.3
2007,Dec,89.1
2008,Mar,90.3
2008,Jun,91.6
2008,Sep,92.7
2008,Dec,92.4
2009,Mar,92.5
2009,Jun,92.9
2009,Sep,93.8
2009,Dec,94.3
2010,Mar,95.2
2010,Jun,95.8
2010,Sep,96.5
2010,Dec,96.9
2011,Mar,98.3
2011,Jun,99.2
2011,Sep,99.8
2011,Dec,99.8
2012,Mar,99.9
2012,Jun,100.4
2012,Sep,101.8
2012,Dec,102
2013,Mar,102.4
2013,Jun,102.8
2013,Sep,104
2013,Dec,104.8
2014,Mar,105.4
2014,Jun,105.9
2014,Sep,106.4
2014,Dec,106.6
2015,Mar,106.8
2015,Jun,107.5
2015,Sep,108
2015,Dec,108.4
